name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,score,score_breakdown,exclusion_reason,tier
HBT Group,DEU,Lünen,189,vaccines,crustdata,"Machinery Manufacturing / HBT GmbH, headquartered in Luenen, NRW, Germany, is a world class machine manufa",0.0% growth,https://hbt-group.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Leibniz Institute for Agricultural Engineering and Bioeconomy (ATB),DEU,Potsdam,187,veterinary_pharma,crustdata,Research Services / The Leibniz Institute for Neurobiology (LIN) in Magdeburg is an internationally ,1.0810810810810811% growth,https://www.atb-potsdam.de/en,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
PG&F Superabrasives GmbH,DEU,Meerbusch,185,vaccines,crustdata,Abrasives and Nonmetallic Minerals Manufacturing / Formerly WENDT GmbH. In 2025 WENDT India has signed a trademark assignment agree,1.6483516483516485% growth,https://www.3mdeutschland.de/3M/de_DE/metallverarbeitung-de/anwendungen/prazisionsschleifen/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Ohly,DEU,Hamburg,184,veterinary_pharma,crustdata,"Food and Beverage Manufacturing / Ohly is one of the world's leading suppliers of yeast-based ingredients, ferment",3.954802259887006% growth,http://www.ohly.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
AGRO AG,CHE,Hunzenschwil,182,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / Since 1953, for more than 70 years, AGRO has been developing and manufacturing h",6.432748538011696% growth,https://www.agro.ch,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Weizenbaum Institute,DEU,Berlin,182,vaccines,crustdata,Research Services / The Weizenbaum Institute is a joint project from Berlin and Brandenburg funded b,3.4090909090909087% growth,https://www.weizenbaum-institut.de/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
St. Anna Children's Cancer Research Institute (CCRI),AUT,Vienna,178,academic_gmp,crustdata,"Research Services / The St. Anna Children's Cancer Research Institute (St Anna CCRI), located in the",-1.1111111111111112% growth,https://science.ccri.at/,oncology_general,4,industry=1/3 capability=1/2 size=1/2 trigger=1/2,,Tier 3
trinamiX GmbH,DEU,Ludwigshafen,178,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / trinamiX GmbH develops and sells cutting-edge biometric and mobile NIR spectrosc",-4.301075268817205% growth,https://trinamixsensing.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
SIGMATEK Automation,AUT,Lamprechtshausen,174,vaccines,crustdata,Automation Machinery Manufacturing / SIGMATEK is counted among the leading providers of complete and integrated autom,-2.247191011235955% growth,http://www.sigmatek-automation.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
APAGCoSyst Electronic Control Systems,CHE,Freienbach,172,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / APAGCoSyst is an established, electronics and lighting, design and manufacturing",-1.1494252873563218% growth,https://www.apagcosyst.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
STORZ MEDICAL AG,CHE,Tägerwilen,172,veterinary_pharma,crustdata,"Medical Equipment Manufacturing / STORZ MEDICAL AG, founded in 1987, is an independent partner company of the KARL",1.7751479289940828% growth,https://www.storzmedical.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP),DEU,Berlin,169,academic_gmp,crustdata,Research Services / The FMP conducts basic research in Molecular Pharmacology with the aim to identi,-3.977272727272727% growth,https://www.leibniz-fmp.de/de/impressum,oncology_general,4,industry=1/3 capability=1/2 size=1/2 trigger=1/2,,Tier 3
pro-beam Group,DEU,Gilching,165,vaccines,crustdata,Mechanical Or Industrial Engineering / The pro-beam Group is a global leader in electron beam technology. We provide se,7.142857142857142% growth,http://www.pro-beam.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
FRIGATE,DEU,Munich,163,vaccines,crustdata,Manufacturing / Frigate is a manufacturing execution platform that connects global OEMs with 30+,7.236842105263158% growth,https://www.frigate.ai/?utm_source=SMM_LinkedIn&utm_medium=ContactUs&utm_campaign=SMM,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
SPRINGER Maschinenfabrik GmbH,AUT,Friesach,160,vaccines,crustdata,Machinery Manufacturing / Springer Maschinenfabrik is Europe’s number one manufacturer of innovative machi,10.344827586206897% growth,http://www.springer.eu,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Leiber GmbH,DEU,Bramsche,155,veterinary_pharma,crustdata,Food Production / Leiber refines brewers’ yeast into innovative products for humans and animals. F,0.6493506493506493% growth,http://www.leibergmbh.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Fraunhofer IFF,DEU,Magdeburg,153,vaccines,crustdata,Research / We use custom solutions to help German and foreign companies make their manufact,-7.2727272727272725% growth,https://www.iff.fraunhofer.de/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Curaleaf International (ex-EMMAC) DE,DEU,Frankfurt,~150,medical_cannabis,research,Formulation / EU-GMP cannabis extracts & oils,,https://curaleafintl.com,,4,industry=2/3 capability=1/2 size=1/2 trigger=0/2,,Tier 3
LFB / Europlasma,AUT,Vienna (AT) + 2 DE collection sites,~150 (Europlasma DACH),plasma_fractionation,research,Plasma collection (LFB-fed); fractionation occurs at LFB Les Ulis (FR),"26 collection centers Central Europe (15 CZ, 9 AT, 2 DE) — feedstock infrastructure for LFB FR fractionation",https://www.groupe-lfb.com/en/designing-of-biomedicinal-products/collection-of-plasma/,,4,industry=3/3 capability=0/2 size=1/2 trigger=0/2,,Tier 3
RIEMSER Pharma,DEU,Greifswald-Insel Riems,~150–250,"originator_pharma,sterile_generics",research,"Oncology, neurology, infectiology, dermatology",Owned by Esteve; expanded Greifswald site,https://www.riemser.com/,oncology_general,4,industry=3/3 capability=0/2 size=1/2 trigger=0/2,,Tier 3
Spirig HealthCare (STADA),CHE,Egerkingen,~150–200,"originator_pharma,sterile_generics",research,Dermatology distribution + own products,STADA-owned subsidiary; targeted local R&D,https://www.spirig.ch/,,4,industry=3/3 capability=0/2 size=1/2 trigger=0/2,,Tier 3
Wülfing Pharma,DEU,Gronau,~150,sterile_generics,research,Sterile contract manufacturing,,https://www.wuelfing-pharma.de,,4,industry=3/3 capability=0/2 size=1/2 trigger=0/2,,Tier 3
Eirich Official,DEU,Hardheim,147,vaccines,crustdata,Machinery Manufacturing / The Eirich Group is a family operated corporate group in the specialized mechani,3.5211267605633805% growth,https://www.eirich.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
SGS-TÜV Saar,DEU,Sulzbach,145,vaccines,crustdata,Public Safety / SGS-TÜV Saar GmbH emerged from a joint venture between the SGS Group Germany and,13.28125% growth,http://www.sgs-tuev-saar.com/de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Comma Soft AG,DEU,Bonn,143,vaccines,crustdata,IT Services and IT Consulting / Data. IT. Generative AI.We design strategies for your digital advantage.Comma So,2.877697841726619% growth,http://www.comma-soft.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
PFLITSCH GmbH & Co. KG,DEU,Hückeswagen,143,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / PFLITSCH supplies approximately 6,000 customers worldwide who successfully use t",13.492063492063492% growth,https://www.pflitsch.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
sera Group,DEU,Heinsberg,141,veterinary_pharma,crustdata,Manufacturing / sera GroupWe support people who love animals and aquatic environments. Our produ,31.775700934579437% growth,https://www.sera-group.biz/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Provet AG (Virbac CH),CHE,Lyssach,~140 (CH only),veterinary_pharma,research,"Vet pharma distribution + own-label, companion + livestock",Lyssach cold-chain + GMP upgrade 2024 (CHF 8 m),https://www.provet.ch,,4,industry=2/3 capability=1/2 size=1/2 trigger=0/2,,Tier 3
VOGELBUSCH BIOPHARMA GmbH,AUT,Vienna,139,bioprocess_vendors,crustdata,Industrial Machinery Manufacturing / VOGELBUSCH BIOPHARMA GmbH is a worldwide operating engineering company with main,23.008849557522122% growth,https://www.vogelbusch-biopharma.com/,,4,industry=0/3 capability=2/2 size=1/2 trigger=1/2,,Tier 3
TWT Science & Innovation,DEU,Stuttgart,137,vaccines,crustdata,"IT Services and IT Consulting / For 40 years, TWT has been active at the intersection of science, industry, and ",-12.179487179487179% growth,https://twt-innovation.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
LNS Europe,CHE,Orvin,135,vaccines,crustdata,Machinery Manufacturing / Our mission : “To be the global partner of choice automating manufacturing with ,-0.7352941176470588% growth,http://www.LNS-europe.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
EuroTec GmbH,DEU,Hagen,134,vaccines,crustdata,Building Materials / Eurotec GmbH - The specialist for fastening technologyEurotec GmbH is a medium-s,6.349206349206349% growth,http://www.eurotec.team,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
HEGENSCHEIDT,DEU,Erkelenz,134,vaccines,crustdata,Machinery Manufacturing / HEGENSCHEIDT-MFD is one of the world’s leading manufacturers of machine tools fo,4.6875% growth,http://www.hegenscheidt-mfd.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Trotec GmbH,DEU,Heinsberg,132,vaccines,crustdata,"Wholesale Import and Export / OUR PRODUCTS FOR INDUSTRY, TRADE AND COMFORT AT HOMETrotec develops, manufacture",-3.64963503649635% growth,https://de.trotec.com/shop/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Kleffmann Group,DEU,Lüdinghausen,129,veterinary_pharma,crustdata,Market Research / Kynetec is the global leader in animal health and agricultural market insights. ,0.78125% growth,http://www.kynetec.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Thies GmbH & Co. KG,DEU,Coesfeld,126,vaccines,crustdata,"Machinery Manufacturing / TEXTILE MACHINES AND COMPLEMENTARY EQUIPMENT For more than 125 years, our family",5.88235294117647% growth,https://www.thiestextilmaschinen.de/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
DVS TECHNOLOGY GROUP,DEU,Dietzenbach,123,vaccines,crustdata,Machinery Manufacturing / The DVS TECHNOLOGY GROUP is made up of Germany-based companies focusing on the t,6.0344827586206895% growth,http://www.dvs-technology.com/dvs-group,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Elma Schmidbauer GmbH,DEU,Singen,123,vaccines,crustdata,Machinery Manufacturing / Elma Schmidbauer GmbH is one of the world's leading companies in the field of in,6.0344827586206895% growth,https://www.elma-ultrasonic.com/karriere/arbeiten-bei-elma,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
esmo group,DEU,Rosenheim,122,vaccines,crustdata,"Mechanical Or Industrial Engineering / esmo – Partner for Special-Purpose Machinery, Automation & the Semiconductor Ind",0.0% growth,https://esmo-group.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Makino Europe GmbH,DEU,Kirchheim unter Teck,122,vaccines,crustdata,"Machinery Manufacturing / Since 1937, Makino has been widely known as an innovator in one of the most chal",-7.575757575757576% growth,https://www.makino.eu,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
AmerisourceBergen Global Services,CHE,Switzerland,121,veterinary_pharma,crustdata,"Hospitals and Health Care / AmerisourceBergen, soon to become Cencora, fosters a positive impact on the heal",0.8333333333333334% growth,http://www.amerisourcebergen.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Leibniz Institute of Plant Biochemistry,DEU,Halle,121,veterinary_pharma,crustdata,Research / Welcome to Leibniz Institute of Plant Biochemistry!Despite their fixed lifestyle,10.0% growth,http://www.ipb-halle.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
GEWO Feinmechanik GmbH,DEU,Wörth,120,vaccines,crustdata,"Fabricated Metal Products / We are a medium-sized, family-owned high-tech company with 40 years ́ business e",10.091743119266056% growth,https://www.gewo.net,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Institute of Oncology Research (IOR),CHE,Bellinzona,120,academic_gmp,crustdata,"Research Services / The Institute of Oncology Research (IOR), located in Bellinzona (Switzerland) an",8.108108108108109% growth,http://www.ior.usi.ch,oncology_general,4,industry=1/3 capability=1/2 size=1/2 trigger=1/2,,Tier 3
Köhler Pharma,DEU,Alsbach-Hähnlein,~120,originator_pharma,research,"OTC, supplements (Magnetrans, Neurodoron)",Owned by Weleda group; recent line expansion,https://www.koehler-pharma.de/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
AnaPath Services GmbH & AnaPath Research S.A.U.,CHE,Liestal,118,veterinary_pharma,crustdata,"Research / AnaPath, is a global company including contract research organization (CRO) and ",-4.0650406504065035% growth,http://www.anapath.ch/service,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
felmo,DEU,Berlin,116,veterinary_pharma,crustdata,Veterinary Services / Unsere Mission - Die beste & modernste tierärztliche Versorgung für Haustiere.fe,7.4074074074074066% growth,https://felmo.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Salzgitter Mannesmann Forschung GmbH,DEU,Salzgitter,116,vaccines,crustdata,Research Services / Salzgitter Mannesmann Forschung GmbH is an R&D company. Employing about 300 memb,1.7543859649122806% growth,https://www.salzgitter-mannesmann-forschung.de/de/kontakt/datenschutz/datenschutz-social-media.html,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Schmoll Maschinen GmbH,DEU,Rödermark,116,vaccines,crustdata,Machinery Manufacturing / Schmoll Maschinen is a supplier of machine tool and mass production solutions fo,4.504504504504505% growth,http://www.schmoll-maschinen.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
PARADOX CAT GmbH,DEU,Munich,115,vaccines,crustdata,Software Development / PARADOX CAT GmbH is a specialist software development partner in the area of rea,29.213483146067414% growth,https://www.paradoxcat.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
EVK,AUT,Raaba,114,vaccines,crustdata,Automation Machinery Manufacturing / Our core expertise is in classification of data using our hyperspectral and indu,14.000000000000002% growth,https://www.evk.biz,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
HAVER & BOECKER Machinery Division,DEU,Oelde,114,veterinary_pharma,crustdata,"Machinery Manufacturing / HAVER & BOECKER is a traditional-conscious, family-run, mid-sized company with h",-2.564102564102564% growth,http://www.haverboecker.com/en/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
TKM GmbH,DEU,Remscheid,114,vaccines,crustdata,"Machinery Manufacturing / TKM stands for ""The Knife Manufacturers"". Under one umbrella there are more than",6.5420560747663545% growth,http://www.tkmgroup.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Fraunhofer IMTE,DEU,Lübeck,113,academic_gmp,crustdata,Research Services / The Fraunhofer Research Institution for Individualized and Cell-Based Medical En,17.708333333333336% growth,https://www.imte.fraunhofer.de/,,4,industry=1/3 capability=1/2 size=1/2 trigger=1/2,,Tier 3
Fraunhofer SCAI,DEU,Sankt Augustin,113,vaccines,crustdata,Research Services / The Fraunhofer Institute for Algorithms and Scientific Computing SCAI combines k,8.653846153846153% growth,https://www.scai.fraunhofer.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
MackSmaTec GmbH,DEU,Gerstungen,112,vaccines,crustdata,"Machinery Manufacturing / Please note: On October 1, 2025, ruhlamat GmbH became MackSmaTec GmbH. The new n",5.660377358490567% growth,https://macksmatec.de/impressum,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Robert Bürkle GmbH,DEU,Freudenstadt,112,vaccines,crustdata,Machinery Manufacturing / Robert Bürkle GmbH is one of the world's leading manufacturers of presses and co,9.803921568627452% growth,http://www.buerkle-gmbh.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
GESSNER,DEU,Feldkirchen,110,vaccines,crustdata,Manufacturing / GESSNER provides filtration solutions to solve the most complex customer challen,-1.7857142857142856% growth,http://www.gessner-filtration.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
ELATEC Group | Allegion,DEU,Puchheim,109,"bioprocess_vendors,vaccines",crustdata,"Information Technology & Services / At ELATEC, we don’t just provide RFID technology—we enable access. From physical",-4.385964912280701% growth,https://www.elatec-rfid.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
steute Technologies GmbH & Co. KG,DEU,Löhne,108,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / For more than 50 years, steute Schaltgeräte has been developing and manufacturin",4.854368932038835% growth,https://www.steute.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
enspired,AUT,Vienna,107,vaccines,crustdata,"Services for Renewable Energy / enspired is Europe's leading optimizer of battery energy storage systems (BESS),",8.080808080808081% growth,https://www.enspired-trading.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
HELLA Aglaia Mobile Vision GmbH,DEU,Berlin,107,vaccines,crustdata,IT Services and IT Consulting / HELLA Aglaia specializes in innovative software solutions. Our portfolio is base,-30.065359477124183% growth,https://www.hella-aglaia.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
MARGARETE STEIFF GMBH,DEU,Giengen an der Brenz,107,veterinary_pharma,crustdata,"Consumer Goods / Margarete Steiff was born on July 24th, 1847 in Giengen an der Brenz. At only 18",0.0% growth,http://www.steiff.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
K.R. Pfiffner AG,CHE,Utzenstorf,106,vaccines,crustdata,Machinery Manufacturing / High-precision machines for manufacturing mass-produced parts: rotary transfer m,-3.6363636363636362% growth,http://www.pfiffner.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
TEDATA GmbH,DEU,Bochum,106,vaccines,crustdata,IT Services and IT Consulting / TEDATA GmbH is leading manufacturer of digital tools and component catalogue for,3.9215686274509802% growth,https://www.tedata.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Steinmeyer,DEU,Ebingen,104,vaccines,crustdata,"Mechanical Or Industrial Engineering / When precision is everything, there's Steinmeyer.For over 100 years, we've been ",8.333333333333332% growth,http://www.steinmeyer.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Kautex Maschinenbau System GmbH,DEU,Bonn,103,vaccines,crustdata,Machinery Manufacturing / Plastic is our passion. At Kautex Maschinenbau System GmbH we create smart produ,-0.9615384615384616% growth,https://www.kautex-group.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
ROSTA Group,CHE,Hunzenschwil,103,vaccines,crustdata,Machinery Manufacturing / Engineering Good Vibes – Worldwide.ROSTA is the global leader in torsional rubbe,4.040404040404041% growth,http://www.rosta.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
SOLLICH,DEU,Bad Salzuflen,103,vaccines,crustdata,Machinery Manufacturing / SOLLICH offers innovative and comprehensive solutions for chocolate and confecti,5.1020408163265305% growth,https://www.sollich.com/,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
FOOKE GmbH,DEU,Borken,102,vaccines,crustdata,"Machinery Manufacturing / As a medium-sized family business with approx. 200 employees, FOOKE GmbH is base",-3.7735849056603774% growth,https://www.fooke-machines.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
RSP,DEU,Saalfeld,102,vaccines,crustdata,Machinery Manufacturing / Manufacturer of special suction machinesAs the market leader in the area of fan-,8.51063829787234% growth,http://www.rsp-germany.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Institute for Machine Tools and Industrial Management,DEU,Garching,101,vaccines,crustdata,Research Services / The Institute for Machine Elements and Systems Engineering investigates the fund,-1.9417475728155338% growth,www.iwb.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
NOACK Group - Part of Barentz,AUT,Vienna,101,veterinary_pharma,crustdata,"Wholesale / Noack is a technical marketing and sales company, which handles and distributes ",2.0202020202020203% growth,http://www.noackgroup.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Research-Institute for Farm Animal Biology (FBN),DEU,Dummerstorf,101,veterinary_pharma,crustdata,Research / We research the functional biodiversity of farm animals in the context of their ,12.222222222222221% growth,https://www.fbn-dummerstorf.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Brütsch Elektronik AG,CHE,Beringen,100,vaccines,crustdata,"Medical Equipment Manufacturing / We are a family-owned company founded over 50 years ago. As an OEM partner, we d",4.166666666666666% growth,http://www.brutsch.com,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
KEDPlasma GmbH (Kedrion),DEU,Gräfelfing (HQ),~100+,plasma_fractionation,research,Collection,,https://www.kedrion.com/kedplasma-welcomes-donors-to-its-new-augsburg-collection-center/,,4,industry=3/3 capability=0/2 size=1/2 trigger=0/2,,Tier 3
Leibniz Supercomputing Centre,DEU,Garching,100,vaccines,crustdata,IT Services and IT Consulting / The Leibniz Supercomputing Centre (LRZ) proudly stands at the forefront of its f,8.695652173913043% growth,http://www.lrz.de,,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,,Tier 3
Assaia – The ApronAI,CHE,Kloten,92,plasma_fractionation,crustdata,"Information Technology & Services / Assaia is the global leader in AI-driven turnaround optimization, dedicated to e",29.577464788732392% growth,https://www.assaia.com,,4,industry=3/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
allpack group ag,CHE,Allschwil,91,veterinary_pharma,crustdata,Pharmaceutical Manufacturing / Welcome to allpack group ag - Your Trusted Pharmaceutical Packaging Experts.We a,13.750000000000002% growth,http://www.allpack.ch,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
AMW GmbH,DEU,Warngau,90,specialty_orphan,crustdata,"Pharmaceutical Manufacturing / Controlled drug delivery for superior treatment. For patients, worldwide.AMW’s m",11.11111111111111% growth,https://www.amw-pharmaceuticals.com,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Merck Consumer Health Care (Shanghai) Trading Co. Ltd,DEU,Germany,84,specialty_orphan,crustdata,Pharmaceutical Manufacturing / Merck is a global pharmaceutical and chemical company with a history that began ,3.7037037037037033% growth,http://www.merck-china.com/en/index.html,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Pharmaselect International (Sandoz/Hexal sterile),AUT,Vienna,~80,sterile_generics,research,Sterile generic injectables,,https://www.pharmaselect.com,,4,industry=3/3 capability=1/2 size=0/2 trigger=0/2,,Tier 3
Zoetis DACH,DEU,Berlin,77,veterinary_pharma,crustdata,Pharmaceutical Manufacturing / Als weltweit führendes Unternehmen im Bereich der Tiergesundheit sehen wir es al,8.450704225352112% growth,http://www.zoetis.de,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Linnea SA,CHE,Lavertezzo,76,medical_cannabis,crustdata,Pharmaceutical Manufacturing / Linnea’s mission is to improve the quality of life of people around the globe by,7.042253521126761% growth,https://www.linnea.ch,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Hormosan Pharma GmbH,DEU,Frankfurt,75,specialty_orphan,crustdata,Pharmaceutical Manufacturing / Hormosan was founded in Germany over 50 years ago and ever since has developed s,0.0% growth,https://www.hormosan.com/,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
hameln pharma gmbh,DEU,Hameln,72,specialty_orphan,crustdata,Pharmaceutical Manufacturing / hameln pharma is an owner-managed group of pharmaceutical companies whose produc,12.5% growth,http://www.hameln-pharma.com,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Resolve Biosciences,DEU,Monheim,72,specialty_orphan,crustdata,Biotechnology Research / Resolve Biosciences is applying the power of Molecular CartographyTM to enable s,-8.860759493670885% growth,http://www.resolvebiosciences.com,oncology_general,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
HENNIG ARZNEIMITTEL GmbH & Co. KG,DEU,Flörsheim,71,"cdmo_classic,originator_pharma",crustdata+research+research,Pharmaceutical Manufacturing / HENNIG Arzneimittel is a mid-sized German pharmaceutical company based near Fran,Sold to Polifarma Jan 2025; integrated investment plan,http://www.hennig-am.de,,4,industry=3/3 capability=1/2 size=0/2 trigger=0/2,,Tier 3
Dr. E. Gräub AG,CHE,Bern,~70,veterinary_pharma,research,"Swiss vet pharma manufacturer, sterile injectables, vaccines",,https://www.graeub.com,,4,industry=2/3 capability=2/2 size=0/2 trigger=0/2,,Tier 3
INDICAL BIOSCIENCE,DEU,Leipzig,70,veterinary_pharma,crustdata,Biotechnology / INDICAL − Improving diagnostics for better animal and human healthWith three dec,-1.4084507042253522% growth,http://www.indical.com,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Grünhorn,DEU,Leipzig,68,medical_cannabis,crustdata,"Pharmaceutical Manufacturing / At Grünhorn in Leipzig, we are here to help patients with advice and supplies of",3.0303030303030303% growth,https://www.gruenhorn.de/,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
IFPMA,CHE,Commugny,68,vaccines,crustdata,Pharmaceutical Manufacturing / IFPMA represents the innovative pharmaceutical industry at the international lev,-5.555555555555555% growth,http://www.ifpma.org,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Senn Chemicals AG,CHE,Dielsdorf,68,veterinary_pharma,crustdata,Pharmaceutical Manufacturing / SENN has been in the peptide business since 1963. From intermediates to cGMP API,9.67741935483871% growth,http://www.sennchem.com,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Felss Group GmbH,DEU,Königsbach,67,vaccines,crustdata,"Machinery Manufacturing / As lightweight construction experts, we develop the best solutions and processes",-4.285714285714286% growth,https://www.felss.com/en/,,4,industry=2/3 capability=0/2 size=0/2 trigger=2/2,,Tier 3
Caesar & Loretz GmbH (Caelo),DEU,Hilden,65,medical_cannabis,crustdata,"Pharmaceutical Manufacturing / As a traditional company with a 135-year history, Caelo has acquired a leading p",3.1746031746031744% growth,https://www.caelo.de/,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Strathmann (Dermapharm),DEU,Hamburg + Seevetal,~65,originator_pharma,research,OTC respiratory + niche Rx,Part of Dermapharm 2024 capex envelope,"https://www.northdata.com/Strathmann+GmbH+&+Co.+KG,+Hamburg",,4,industry=2/3 capability=0/2 size=0/2 trigger=2/2,,Tier 3
Phytobiotics GmbH,DEU,Eltville,64,veterinary_pharma,crustdata,Biotechnology Research / Phytobiotics demonstrates one of the fastest growing global companies serving th,4.918032786885246% growth,https://www.phytobiotics.com?utm_source=linkedin&utm_medium=linkedinpage,,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Develco Pharma Schweiz AG,CHE,Pratteln,~60,sterile_generics,research,Sterile/specialty oral & parenteral CDMO,,https://www.develco-pharma.ch,,4,industry=3/3 capability=1/2 size=0/2 trigger=0/2,,Tier 3
