person_name,title,seniority,years_at_company,company,company_linkedin_id,person_linkedin_url,location,headline
Cristina Negulescu,Quality Control Site Director,Director,5,Miltenyi Biotec,26033,https://www.linkedin.com/in/ACoAAADfFSMByeYwK31u6sDDRnRJxPosYk6sTUE,,Quality Control Site Director at Miltenyi Biotec
Prasad Sardesai,"Site Director, Quality Assurance",Director,2,Miltenyi Biotec,26033,https://www.linkedin.com/in/ACoAAAM5OG0Bxe7yOvka5a04Q1OeMm7vgiaNvEg,,"QA Site Director, Cell & Gene Therapy"
Georg Scharfenberg,Product Owner R&D Engineering,Owner / Partner,5,Miltenyi Biotec,26033,https://www.linkedin.com/in/ACoAABMtnh8BOgsUDKxhUVJ4dBXnAjYugtqioy0,,Product Owner R&D Engineering bei Miltenyi Biotec
Jesse Ayala,Sr. Site Director,Director,0,Minaris Regenerative Medicine,68790540,https://www.linkedin.com/in/ACoAADkDjlIBSp9RuTxV-vsKKUP2qbC10U7WnZM,,Sr. Site Director at Minaris Regenerative Medicine
Georg Belke-Louis,Head of GMP Manufacturing,Director,5,Minaris Regenerative Medicine GmbH,68790540,https://www.linkedin.com/in/ACoAAC49pkYBp3ZOV_nptgRDsxWhxg0YiFJYnmw,,Qualified Person for ATMP / Head of GMP Manufacturing bei Minaris Regenerative Medicine GmbH
Katja Sigl Ph.D.,Associate Director GPS Operations - PV Alliance Leader,Director,3,MorphoSys,37739,https://www.linkedin.com/in/ACoAACDlqn8BC1CHcajlvNJ0794tbp_StUnIFKE,,Associate Director GPS Operations - Contract Management
Andrea Salomon,Senior Assistant to Head of Technical Operations and Quality Team,Director,8,MorphoSys,37739,https://www.linkedin.com/in/ACoAAFUFqtMBiIbxELlnDzMnHP5zbJlPb6wOPAI,,Senior Assistant to Head of Technical Operations    bei MorphoSys
Sebastian Zach,Associate Director | Head of IT Infrastructure & Operations,Director,2,MorphoSys,37739,https://www.linkedin.com/in/ACoAAET4A3oB6dGBCW0SO25ZQ1hr5232sw5gcm8,,--
Elizabeth S.,Site Head Quality,Director,2,National Resilience Inc,72516576,https://www.linkedin.com/in/ACoAAATsonoB-V1ahSZA3zwS3YMlIk7hLT9HpHw,,Site Quality Head - Philadelphia at National Resilience Inc.
Marta Gonzàlez,General Manager Spain & Portugal,Director,3,Neovii,91476,https://www.linkedin.com/in/ACoAAAfk1n0BcTBAZSei7HBegoKQEtrIb5_zmrE,,General Manager Spain & Portugal  Consultant for Neovii
Alexandra Kramer,Head of Production,Director,4,Neovii,91476,https://www.linkedin.com/in/ACoAAFY2lXYBoshkx5RRPlKpuAEayGWfQmXml0Q,,Head of Production
Timo Rode,Head of Pharmaceutical Development/ Head of Production investigational medicinal products,Director,3,Nordmark Pharma,660722,https://www.linkedin.com/in/ACoAADl8waEBB5mfVqZikwecEVmkVGssyCeMHac,,Head of Pharmaceutical Development
Abdulwahab Barakat,Head of Quality Management - Operations,Director,0,Nordmark Pharma,660722,https://www.linkedin.com/in/ACoAAAZVnHQBt0sxF47PmKQkWaLLhHVkDKz7aV0,,Head of Quality Management - Operations
Volker Hoellrigl,Head of Manufacturing Science and Technology,Director,8,Nordmark Pharma,660722,https://www.linkedin.com/in/ACoAAAEPiUgBxOj4PWR75P5JJMa2ah-ohBhdG5o,,Head of Manufacturing Science and Technology at Nordmark Pharma GmbH
Michael Kurdum,Director Biotechnological API Production,Director,3,Nordmark Pharma,660722,https://www.linkedin.com/in/ACoAACWJBloBLuJtK64BU6YsNxCZ8UajMRyH5QY,,Director Biotechnological API Production
Sven Hattwig,Head of Engineering,Director,0,Nordmark Pharma,660722,https://www.linkedin.com/in/ACoAADV2HTcBgV5FprF4w28TIhUIp-D0_LfeQCQ,,Limits like fears are often just an illusion.
Stefan Herve,General Manager APAC,Director,7,Novasep,70167,https://www.linkedin.com/in/ACoAADu7VxYB3Wrnu3iqZxecsnEaFcSg1d0uUtw,,General Manager at Novasep
Rachel De Luca,Site Director,Director,17,Novasep,70167,https://www.linkedin.com/in/ACoAABrzSDcB3sliKD3vWbhLbOJZ_QoLN5-EZPY,,Director at Novasep
Dominique Paillat,general manager,Director,0,Novasep Eurasia,70167,https://www.linkedin.com/in/ACoAAAFYvJMBiw-ZEQ-49yDs7_bBa5t-9Ye2Ff4,,general manager at Novasep Eurasia
Achim Freisleben,Managing Director / COO,CXO,5,Nuvisan,1493702,https://www.linkedin.com/in/ACoAAB-_Np0BhqqVQIjJvZD1ywKpeScVDsFCtNs,,Managing Director / COO bei Nuvisan Pharma Services Group
Charlotte Kopitz,"President, Head of Discovery Research Nuvisan and General Manager CRO Discovery ALS Pharma",CXO,1,Nuvisan,1493702,https://www.linkedin.com/in/ACoAABBKsGEBleENjQxFTJmF5QIJG14SezbltRs,,"President, Head of Discovery Research Nuvisan and General Manager CRO Discovery ALS Pharma"
Emmanuelle GUTIERREZ,Deputy Head of Formulation Operations,Director,1,Nuvisan,1493702,https://www.linkedin.com/in/ACoAACRecWcBjPywxoQD29XytZeWfuq4RzS5JP0,,Deputy Head of Formulation Operations chez Nuvisan Pharma Services
Daniel Huber,Head of Laboratory Operations,Director,3,Nuvisan,1493702,https://www.linkedin.com/in/ACoAAEa5cDoBQTiJzcNGGAeVPkXkVmRNfdlivao,,Head of Laboratory Operations bei Nuvisan
Karine Nadau-Fourcade,Head of Formulation Operations,Director,7,Nuvisan,1493702,https://www.linkedin.com/in/ACoAAAntrH8B_LRsV8Xc7uGAbZ97lkmphyoPJkY,,Head of Formulation Operations chez Nuvisan Pharma Services
Dr. Toni Hille,Head of Operations,Director,2,Nuvisan,1493702,https://www.linkedin.com/in/ACoAADTDKfIBBc7oPieDm2F8gKWTezFvk9CaZ_A,,Head of Operations • HQC/LdQ
Lise ANTHONIOZ,Head of Analytical Operations  - Analytical Project Manager and Lab Manager,Director,7,Nuvisan,1493702,https://www.linkedin.com/in/ACoAAAnhfqIBLEC-zleL4IoKCXN4-YDE8jReIGo,,Head of Analytical Operations - Pharmaceutical Analytical Services at Nuvisan Pharma Services
Véronique Zanzi Dupil,Project Manager and Deputy Head of Pharmaceutical Testing,Director,7,Nuvisan,1493702,https://www.linkedin.com/in/ACoAABCm570BMcZV02rDYsibZXOYuse6o7DfPRo,,Quality Control Manager and Project Manager chez Nuvisan Pharma Services
Michael Meyring,Deputy Head of Test Facility,Director,10,Nuvisan,1493702,https://www.linkedin.com/in/ACoAACY49L0Bsz7sV4hr1LZsxRPb31pW1DvBN04,,Head of PK Sciences bei Nuvisan GmbH
Stephanie W.,Head of Production CTS,Director,3,Nuvisan,1493702,https://www.linkedin.com/in/ACoAAELj5qEBRqlB6NX8B4qOmGFo_sHsI2D_Fpk,,--
Peter Bachler,"Head of Pharmaceutical Analytical Services Waltrop, Site Director",Director,3,Nuvisan GmbH,,https://www.linkedin.com/in/ACoAAB0oNlgBwhr8KOR6JOqpTJGiwOJQ7t-QxTE,,"Head of Pharmaceutical Analytical Services Waltrop, Site Director bei Nuvisan GmbH"
Kaj Kangasniemi,Senior Process Engineer cTO,CXO,2,Octapharma,16370,https://www.linkedin.com/in/ACoAAAfYxJAB6bSB4E5AQNaOdZhdRbyLtxiQIjc,,Senior Process Engineer at Octapharma corporateTO
Samuel Mauricio,General Manager & Vice President Brazil,Vice President,17,Octapharma,16370,https://www.linkedin.com/in/ACoAAAODcS8BpRIGlJYuo93jfnSP6oU5elKRnXs,,Vice-President for Brazil at Octapharma
Candice McCain,Director of Operations,Director,5,Octapharma,16370,https://www.linkedin.com/in/ACoAABUVJhkBdcEYCGKXN6XMG9z6CRIl6F8TEQw,,Director
Susanne Gräslund,Section Head Biopharmaceutical Production,Director,1,Octapharma,10658449,https://www.linkedin.com/in/ACoAAAEntcgBpwt8dctnLAZ42RU1HG-tTWDMtKQ,,Section Head at Octapharma
Maria Klar Fd Wikman,Head of Production Support Freeze Dried,Director,3,Octapharma,10658449,https://www.linkedin.com/in/ACoAAABrLXIBMDoFTs10iUP-OCL9JixgMh5JKbg,,Head of Production Support Freeze Dried at Octapharma
Alexander Hölzl,Head of HR Operations,Director,0,Octapharma,100249019,https://www.linkedin.com/in/ACoAACYUL8wBmCP0lT88-s4Yex429ygBRtQHTRA,,Head of HR Operations at Octapharma
Andreas Hörbiger,Head of Visual Inspection & Packaging Operations,Director,4,Octapharma,100249019,https://www.linkedin.com/in/ACoAABqdy3IBdvMXISOjjUavCMPsqG1rRE4paT4,,Head of Visual Inspection & Packaging Operations bei Octapharma
Tobias Söderkvist,Head of Corporate Engineering,Director,8,Octapharma,16370,https://www.linkedin.com/in/ACoAAADf5AcBJsAwtlgXTUaJuSL2hsmBQxeK1TE,,Head of Corporate Engineering
Marc Bäckman,Head of Pharmaceutical Production,Director,8,Octapharma,16370,https://www.linkedin.com/in/ACoAABziIsoB_Y90mwUniF06Pa8jCJg5HRKUknI,,Head of Pharmaceutical production på Octapharma AB
Guenter Iberer,Head Of Production,Director,11,Octapharma,16370,https://www.linkedin.com/in/ACoAACK-UdUB2k1fuvES75NgcEfKQR_aQ1CMF_0,,Head Of Production bei Octapharma
Marie Stapleton,Head of Operations,Director,3,Octapharma,16370,https://www.linkedin.com/in/ACoAACZIttABOFKW7gzl2O6VeF9Pcsn6M8PhZgg,,Head of US Clinical R&D Operations
Werner Giefing,Head of Quality Assurance & Quality in Operations,Director,15,Octapharma,16370,https://www.linkedin.com/in/ACoAAAPvMxgBTDdHzTlwSU20eIiBxhdis5qavUI,,Head of Quality Assurance & Quality in Operations at Octapharma
Volker Weimar,Head of Manufacturing Science and Technology at Octapharma,Director,5,Octapharma,16370,https://www.linkedin.com/in/ACoAABYtYgoBt5uJD6NlzzrXv67XIjTWNU1caVM,,Head of Manufacturing Science and Technology at Octapharma
Javier Marchena Palomino,General Manager East and Southeast Asia,Director,4,Octapharma,16370,https://www.linkedin.com/in/ACoAAAJTgTAB-a-Sv7NFdRo96xbP1mYR5NlCHQE,,General Manager en Octapharma
Abbey Chacko,Director of Operations,Director,6,Octapharma,16370,https://www.linkedin.com/in/ACoAAA4fwOsBFOo6CFe7kBPLCYEG-x9WrYmZfrw,,Center Director at Octapharma Plasma Inc.
Artem Yasenev,Head of Operations Support,Director,2,Octapharma,16370,https://www.linkedin.com/in/ACoAABoiMagBbscBgLJBAnyqjkwr1A1JPHceB0A,,Head of Operations Support
Moritz Kramann,Group Director API Production,Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAABu3ATkBfkWGVOK9dEpKnii-8yfALftmROQ,,Group Director API Production
Markus Raudaschl,Head of Purification 1 and Pilot Plant Operations,Director,5,Octapharma,16370,https://www.linkedin.com/in/ACoAACuBcJsBmP6PKyR3xHuD4F__x0__6eCInok,,Head of Purification 1 and Pilot Plant Operations bei Octapharma
Tobias Marguerre,General Manager,Director,20,Octapharma,16370,https://www.linkedin.com/in/ACoAAAflvhcB-1OjJoz_c9fokEiAzCUyG7Jit6U,,GM at Octapharma
Antonia Post,Head of Production,Director,3,Octapharma,16370,https://www.linkedin.com/in/ACoAAEMtQbUBEZ2KQkgGwn6yegxJZ2PuiCjZYpg,,Head of Production bei Octapharma
Metzger Ernst,Group Director Pilot Plant,Director,11,Octapharma,16370,https://www.linkedin.com/in/ACoAAAP27ZkB4LaKTd-QSYYXFhHgB53fd29qNlA,,Group Director Pilot Plant bei Octapharma
Peter Forsmark,Head of Fractionation (Bulk Production),Director,5,Octapharma,16370,https://www.linkedin.com/in/ACoAAAbHQOcBRvXX5Xka85tYGYEXiCJVTt1CFlw,,Head of Fractionation (Bulk Production) på Octapharma
Björn Priesett,Head of Facility & Utility Managment,Director,8,Octapharma,16370,https://www.linkedin.com/in/ACoAABZsPEoBlCs0vzjJxBWTBA5D3s8aiIniKj4,,Head of Facility & Utility Managment bei Octapharma
Samantha S.,Assistant to Head of Production Unit,Director,9,Octapharma,,https://www.linkedin.com/in/ACoAACeDFg4BI87l4aQKI0nvtwZ8lQsfv_5Ih-U,,Deputy Head of Production Documentation bei Octapharma
Gregory Peters,Assistant General Manager,Director,3,Octapharma,16370,https://www.linkedin.com/in/ACoAAAM3yCYBzsDaVqy6Zcrtam_cdHlXGDu_NX0,,Health Services Administrator
Christoph Sailer,Deputy Head Purification 1 and Team Lead Pilot Plant Operations,Director,4,Octapharma,16370,https://www.linkedin.com/in/ACoAACCDfsgBvz5Kn7u0hQ3wcur3jHt_tWk0MXM,,Deputy Head Purification 1 and Team Lead Pilot Plant Operations
Sofia Sundström,Director Biopharmaceutical Production,Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAAACkcEcBs2fYoVAbw3FTyCYi20lVrsbDxiQ,,Director Biopharmaceutical Production
Annika Palo,Head of Quality in Operations,Director,9,Octapharma,16370,https://www.linkedin.com/in/ACoAAAJ4g20BZy1WM_z16RlL6KLvT2WXcJI_nlk,,Head of Quality in Operations at Octapharma
Lennart Berggren,Director Facility and Process,Director,0,Octapharma,16370,https://www.linkedin.com/in/ACoAAAAXf2oBkAeh6XQJe3fwhegbNV42_ageS8g,,Director Facility and Process at Octapharma AB
Anna-Carina Luschin,Deputy Head of Purification 1 / Team Lead Pilot Plant Operations,Director,5,Octapharma,16370,https://www.linkedin.com/in/ACoAADlhnmoBIrTnkXEX2GMepwS0oxL0KkHsqGM,,Deputy Head Purification 1 / Team Lead Pilot Plant Operations
Stefan Hahn,Deputy Head of Aseptic Production,Director,9,Octapharma,,https://www.linkedin.com/in/ACoAABILAW8Bvmp7gcV-cJysEIcboUKOTvq4TUI,,Deputy Head of Aseptic Production bei Octapharma
Luuk Seelen,Group Director (Corporate Manufacturing Intelligence),Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAAAWSyZUB0Xq4E9lLJa8E7D2Q9IxtW9JyHG4,,Group Director Corporate Manufacturing Intelligence at Octapharma
Sonja Anderle,Head of Production Support,Director,10,Octapharma,16370,https://www.linkedin.com/in/ACoAABb3fSoBoKJ1gOHiwGn-1zsERGoHhNq-0jg,,Head of Production Support bei Octapharma
Clare Worden,General Manager,Director,18,Octapharma,16370,https://www.linkedin.com/in/ACoAADiuB_sBZVtfBKyhtMqgz4LhAwJTnYm0S8k,,--
Andy Walsh,Deputy General Manager,Director,7,Octapharma,16370,https://www.linkedin.com/in/ACoAAB761UgBp9JqCthv8VdvKHyr2jno682MhKY,,--
Geoffray Quenioux,Head of Panzyga 2.0 Production,Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAABX4mVABfQWstOUOAHP59k7qyLKAdT4GD5s,,Pharmacist - Development and Production Engineer
Martin Bellstädt,Head of Manufacturing / Production Technology,Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAABIvz9EBV1MFaAVBB_k-XedwgrofsYl8tdU,,"There are no problems, just challenges!"
Stefan Kisling,Head of Process Support Pharmaceutical Production,Director,3,Octapharma,16370,https://www.linkedin.com/in/ACoAACABYrsBI__4U1HZsoHdYCksInCIISyiIPI,,Head of Process Support Pharmaceutical Production bei Octapharma
Dr Elisa Derboven,Deputy Director/ Group Manager Corporate API Production,Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAABb2AacBOGeX4ieebioEkhboy4DArxihPNE,,Deputy Director/ Group Manager Corporate API Production at Octapharma
Christian Müller,Deputy Head of Microbiology - QC operations,Director,5,Octapharma,16370,https://www.linkedin.com/in/ACoAAC6DwzMBfOsk_vvls69aPmCEXI9lS8U-Xps,,Head of Environmental & Media Monitoring / Deputy Head of Microbiology
Alexander Eder,Head of Scientific Operations Services @ Plasma R&D,Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAACCpZvkBnRde_yYsDqJ4ZCchPK5NO3v1oUQ,,"I am an inspiring transformative leader, driving progress by
advancing individuals, their work environments, and by 
fos"
Jörg Wonka,Head of Manufacturing,Director,1,Octapharma,16370,https://www.linkedin.com/in/ACoAAFgNEukBnKU_njeWngCLT8SIGpskyR6Cf2Q,,--
Marthina Tedesund,Head of Quality in Operations,Director,4,Octapharma AB,10658449,https://www.linkedin.com/in/ACoAABb_LuwB-dlMmE2bKK9NhruLFOCdk8UtOHU,,Head of Quality in Operations at Octapharma AB
Christoph Kannicht,General Manager,Director,0,Octapharma Biopharmaceuticals GmbH,,https://www.linkedin.com/in/ACoAAAkUt7gBWiKXpBHZ2BcsYXx1Bt1Amd8-wx8,,Wissenschaftlicher Berater Strategie und Portfolio bei Octapharma Biopharmaceuticals GmbH
Steve Hillebrandt,Head of Production Unit,Director,9,Octapharma Dessau GmbH,,https://www.linkedin.com/in/ACoAACatWogBBWOQ7tEJA0Giw_tWTvhfBAuPFsM,,Head of Production Unit bei Octapharma Dessau GmbH
Judy Smith,COO and EVP,CXO,18,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAAANZsPgBQtc4ofy2bNTHF4gFX_gBtHDjpqw,,"EVP and COO at Octapharma Plasma, Inc."
koji ishihara,"Sr. Regional Director, Operations",Director,4,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAAAOWm4gB69BKRMByr-AyeftFPopbscbAfWc,,"Sr. Regional Director of Operations at Octapharma Plasma, Inc."
Dallas York,Regional Director of Operations,Director,10,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAABV4E5MBD75tQGaBJJUzmQyGZwkwWVgx2qw,,"Regional Director of Operations at Octapharma Plasma, Inc."
JONATHAN PRATER,Sr Operations Director,Director,9,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAAClKsrAB88fRN72IIgoUo_ETTUktKg7cAVY,,"Sr Operations Director at Octapharma Plasma, Inc."
Darrin Wildman,"Divisional Director, Operations",Director,17,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAABvb1hcBQbu1724t16LX2zJrfZgb_Bqkk98,,"Divisional Director, Operations at Octapharma Plasma, Inc."
Keef Romero,Regional Director Of Operations,Director,0,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAADq0Z3AB9A9TiYF7j9nk_Nqpi06u7BpbsrU,,"Regional Director Of Operations at Octapharma Plasma, Inc."
Jeremy Zastrow,Director of Lab Operations,Director,7,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAABg3EREBJswUQhfFGBTszJHkGoSzxHncvqE,,"Director of Lab Operations at Octapharma Plasma, Inc."
Tracy H,Director of Operations,Director,0,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAAFQoySIBlHvlcD7XEESaeX4pt55cBa0o8gA,,"Director of Operations at Octapharma Plasma, Inc."
Jennifer Gomosky,Director of Field Training and Operations,Director,6,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAAAPbAsUBmiS7z_o2IF2cnce8P8EByUx8t-M,,"Director of Field Training and Operations at Octapharma Plasma, Inc."
Meghan Murphree,Center Operations Director,Director,5,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAAAH3XbEBDGOBXSKefznvu5-fm6104FNs_HI,,"Center Operations Director at Octapharma Plasma, Inc."
Marcia Parker,"Director, Laboratory Operations and Hyperimmune Products",Director,0,Octapharma Plasma,570106,https://www.linkedin.com/in/ACoAAAOqHdEBOQoBXDjOU8Y5GiUvSmb6P7_FDDg,,"Director, Laboratory Operations and Hyperimmune Products at Octapharma Plasma, Inc."
Christian Fluegge,Head of Quality / Site Quality Head,Director,3,Octapharma Springe,41184238,https://www.linkedin.com/in/ACoAABESwosBsnbKUHXj-bFbNz4AVmiGUKx_8Wo,,--
Dirk Rudolph,Senior SME Production/ Head of Production,Director,0,Octapharma Springe,41184238,https://www.linkedin.com/in/ACoAAEXpYQQBYkpq3SenIpzilsnL86AV80doz3o,,Senior SME Production/ Head of Production bei Octapharma Produktionsgesellschaft Deutschland Mbh
Kai Höltje,Head of Engineering,Director,0,Octapharma Springe,41184238,https://www.linkedin.com/in/ACoAACJlAmkBKzRbGrwg5CRb6zwmeaxoGWn0eOQ,,Dr.-Ing. | Head of Engineering
Serdar Baris,General Manager,Director,1,Octapharma Springe,41184238,https://www.linkedin.com/in/ACoAAAJYQQABYKVwm9dMYGHMflKC7VYaoXRQbTc,,Octapharma Germany
Leonhard Nagel,Head of Production Unit,Director,1,Octapharma Springe,41184238,https://www.linkedin.com/in/ACoAAF14ASQBxLBOHv_8IycA4AsIlqIkSqPJiEY,,Head of Production Unit
Keegan Culp,Director Of Operations,Director,4,Palmer Chiropractic College,27001465,https://www.linkedin.com/in/ACoAADMhVmABqjfxXQSpqGyfdQ9WCLYs4Ms7dLY,,Chiropractic Student at Palmer Chiropractic College - Florida
Andrea Vázquez,General Manager Argentina & Latam South Cone,Director,1,Pint Pharma,25053014,https://www.linkedin.com/in/ACoAAAAcHwgBMTS3BZcAQp6GjvzbZx3eUVtfv0U,,General Manager Latam. Unlocking possibilities in rare disease.
César Fuentes Porragas,General Manager Business Unit,Director,1,Pint Pharma,25053014,https://www.linkedin.com/in/ACoAAAeKCuEBp_ZzMikdAqIXCvMLWN599I49GlA,,Director Comercial / BUM / Especialista en Negociación Estratégica / +15 años en Sector Salud / Posicionamiento de Marca
Mauricio Botero Caicedo,North Cluster General Manager,Director,0,Pint Pharma,25053014,https://www.linkedin.com/in/ACoAAAojabABVan0WyzhNXRvXJ0dp4yoasudW6s,,North Cluster General Manager
Florian Weber,Head Of Production,Director,7,PlasmidFactory,12182663,https://www.linkedin.com/in/ACoAADQgIiMBpiX9JCdbtFLDUOJwhTYQHaKkV6s,,Head Of Production bei PlasmidFactory GmbH & Co. KG - The Minicircle Company
Vikram Pundir,Vice President Site Quality and Group Quality Network Strategy | Management Board Member,Vice President,0,Polpharma Biologics,108621877,https://www.linkedin.com/in/ACoAAAZJM5UBNo1r-KVZtve-6cxcXrVXiPdz-Rc,,Vice President Site Quality and Group Quality Network Strategy | Management Board Member at Polpharma Biologics
Olaf Peter Birkenmeier,Head External Manufacturing,Director,4,Polpharma Biologics,18949263,https://www.linkedin.com/in/ACoAAC2oNsoBFIRV6ch3JzxtSQqFyzpqSlgVn8o,,Ensuring projects and supply run smoothly with external partners
Guenter Kreismayr,Head of Production (GMP Fermentation),Director,14,Polymun Scientific Immunbiologische Forschung GmbH,65174186,https://www.linkedin.com/in/ACoAAANfyd8BdpAmHxa0dwpjvi13fiL-0bQM2d8,,Head of Production (GMP - Fermentation) at Polymun Scientific
Raoul BERNHARDT,Chief Manufacturing & Supply Chain Officer,CXO,0,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAK0xJwB4L1IqVgCg8CG4N-UlnLApcmeRKo,,Chief Manufacturing & Supply Chain Officer - Executive leader
Yash Patel,"Head of Engineering, CAPEX Manager",Director,2,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAElSgx0BkktMHB2Iv-3GqI2jO-2OOO1buco,,GMP State-of-art Manufacturing Facility Architect & Energy Enthusiast.
Michael Bjerno,"Director, Global Engineering",Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAH3pMwBTe72EfbDVwWyRbhp6xTabA7oBn8,,"Director, Global Engineering, Polypeptide Group"
Rekai Djouhar,Head of Business Unit Peptide Process Development & Manufacturing,Director,5,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAvfkycBRxIKAY1Z8ulRRv8c8yGCZwHhKHs,,Head of Business Unit Peptide Process Development & Manufacturing at PolyPeptide Group
Haris Samardzic,Head of Production,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAALNmIwBzw3uFUjKyVeRRuW_w4178FNOPs4,,Head of Production
Atul Harshe,Director - Production,Director,14,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAATx-xABUwv4vIHinr4Rh_mFlKWp3J5_RmQ,,Sr. GM & Head - Site opeations
Ulrika Andrén Ny,Site Director U.S.,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAXTlC8BbciJFtt8LiJTmUNFo3_lYAu6pZ4,,Site Director U.S. PolyPeptide Group
Aziz BELBEGAR,Head of Manufacturing & Supply Chain,Director,3,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAABYLIYIBKvfVvD1m2JIHknOZ_ABbAntom8A,,Head of Manufacturing & Supply Chain at PolyPetide Group
Inas Khedher,Head of Global Operations Controlling,Director,2,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAIvR68BmKb4OUH1CIbfudgVXF40XsVTGGw,,Global Head of Operations Controlling at PolyPeptide Group
Kevin Williame,Head of Production - Down Stream / Purification & Freeze Drying,Director,5,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAA2gHr4Bt6osfOXVJfgMRIlHSfRSfKkEYX0,,Head of Production - Down Stream chez PolyPeptide Group
valery Meyers,Head of production Upstream,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAdsIsoBOcezQut-morySv6XT2Hd7Bm9WP0,,Head of production upstream Polypeptide
Brad Grossman,Head of Operations- Torrance,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAADBdocBgKhcAPI6yAatogZo3lkzS1ws3BI,,Head of Operations at Polypeptide Group Torrance
Cecilia Bertilsson,Operations Director,Director,3,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAO66_IBmOyPhM-LY-6cM8f9SG5QauOV7lY,,Operations Director at PolyPeptide Group
Anders Nilsson,Engineering Director,Director,5,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAADKavABRB__sWJKQw2mf4Yd2iqYj6qTeqg,,Engineering Director at PolyPeptide Group
Marchal Vincent,Head of Manufacturing,Director,2,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAABjV_pkBB-Mqprtq_me7B7U5y3ZJ2gPEKEU,,Director of Operations and Technical Services in pharmaceutical industry including CDMO
Christophe Allard,Site Director,Director,2,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAADqD5kB5l26f3qUhJQmElhh_w9mWcSPwF4,,General Manager Belgium and Site Head (CDMO - Pharma Industry)
Jens Fricke,"Director Global Operations, PolyPeptide Group",Director,3,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAABb8nABRYRf8QR-8RLq1cJVm6CjbLGdnFA,,"Director Global Operations, PolyPeptide Group"
Lena Berdén,Site Director,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAFRTgQBCX2lPZCXnmRuLLZMwANNEVo3luY,,Site Director Malmö
Pierre BANZET,General Manager France - Site Director,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAdNj2ABO6jnpP4Dw2hEeZP7qzJLjH_l1NA,,General Manager France - Site Director
Malin Hallström,Executive Assistant to Director Global Operations and Executive Assistant to Site Director Malmö,Director,4,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAtmKYsBCqH8Z4XuopAba4OrG5k5AYyE8pM,,Executive Assistant to Director Global Operations and Executive Assistant to Site Director Malmö
Andreas Lindgren,"Director, Manufacturing Process and Technical Transfer",Director,7,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAABN8vWUBPPDkbkiZZmQzJ0SKqkYlNSFBpAg,,"Director, Manufacturing Process and Technical Transfer  på PolyPeptide Group"
Phuc Nguyen,Head of Manufacturing and Development,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAPQMeQBYcqXS824b0S-_-r5EbaRWqWRcLQ,,Pharmaceutical Operation Leader | GMP Expert | Process Development  | Strategic Project Management
Mickey Nielsen,"Director, Global Operations Controlling",Director,0,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAAme3DYBtUCSWhZ8eiIa1rIqtPqov-ErBm8,,IMD EMBA
Christelle Bobier,Director Global Process Design and Manufacturing Technology,Director,1,PolyPeptide Group,60184,https://www.linkedin.com/in/ACoAAEiS8xcBNobX7198w9uZkd2DwoBh8pMC268,,Director Global Process Design & Manufacturing Technology
